range,col 8in,col 10in,dahlgren 8in,dahlgren 9in,dahlgren 11in,ho 6.4in,ho 8in,ho 12pdr,ho 24pdr,ho 12pdr mountain,james 6pdr,james 12pdr,james 14pdr,parrott 10pdr,parrott 20pdr,parrott 30pdr,parrott 100pdr,parrott 200pdr,rifled 6pdr,rifled 18pdr,rifled 24pdr,rifled 32pdr,rifled 42pdr,rifled 2.25in mtn,rifled 3in,rifled 3in naval,rifled 3.67in sawyer,rifled 4.5in,rifled 6.5in,rifled blakely,rifled brooke,rifled whitworth,sb 6pdr,sb 24pdr,sb 32pdr,sb 42pdr,sb 6pdr wiard,sb 12pdr wiard,sb napoleon,siege 24pdr
1,22,50,15,30,0,8,15,11,14,11,6,8,7,8,12,14,42,18,6,12,15,28,51,4,7,7,6,10,20,10,9,8,7,15,30,21,5,8,11,15
2,18,48,11,22,,6,12,8,12,9,4,6,6,6,10,9,38,15,5,9,12,25,47,3,6,5,5,7,16,8,7,7,5,12,25,18,4,6,9,10
3,16,48,11,22,,4,9,6,10,7,3,6,6,6,7,6,38,15,5,6,12,22,45,3,6,5,5,7,16,8,7,7,5,10,20,18,2,6,7,7
4,16,46,6,18,,3,7,6,8,5,2,5,5,6,7,6,35,14,4,4,10,22,42,3,5,4,4,4,12,6,5,7,3,8,20,15,2,5,6,5
5,13,46,6,16,,3,5,4,6,4,2,5,5,3,5,4,35,14,4,4,10,22,40,2,5,4,4,4,12,6,5,6,3,8,20,15,2,5,5,4
6,11,44,4,14,,2,4,3,4,2,2,5,4,3,4,4,32,12,4,4,8,22,40,1,4,3,4,3,10,5,4,6,3,6,20,12,1,5,5,4
7,11,44,4,13,,2,3,2,3,1,2,4,4,3,4,3,32,12,3,4,8,22,36,0.5,4,3,3,3,10,5,4,6,2,6,20,10,1,3,3,3
8,8,40,3,13,,1,2,1,2,,1,4,3,3,3,3,27,12,3,4,6,22,32,0.25,3,2,3,2,8,4,4,5,2,4,20,7,1,3,3,3
9,8,40,3,13,,1,1,,1,,1,3,3,3,3,3,27,12,3,3,6,22,30,,3,2,3,2,8,4,4,5,2,4,15,6,0.5,3,2,2
10,6,36,2,12,,0.5,,,1,,1,3,2,2,2,2,25,12,2,3,4,22,27,,2,2,2,1,6,3,3,5,1,3,15,5,,2,2,2
11,6,36,2,12,,,,,1,,1,2,2,2,2,2,25,12,2,3,4,22,25,,2,1,2,1,6,3,3,5,1,3,10,5,,2,1,1
12,5,32,1,12,,,,,1,,1,2,1,2,1,2,22,10,2,3,2,12,20,,1,,2,1,4,2,3,4,0.5,2,10,5,,1,1,1
13,5,32,1,12,,,,,0.5,,1,2,1,2,1,2,22,10,1,3,2,12,15,,1,,1,1,4,2,3,4,,2,10,4,,1,0.5,1
14,4,28,1,12,,,,,,,0.5,1,0.5,1,0.75,1,20,10,1,3,1,8,10,,0.75,,1,1,2,1,2,4,,1,5,3,,1,,0.5
15,4,28,0.5,10,,,,,,,,1,,1,0.75,1,20,10,1,3,,5,5,,0.75,,1,1,1,,2,4,,0.5,5,2,,0.5,,
